Title,Company,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
"Sr. Analyst, Commercial Finance",Mondelez,4.5,(951 Reviews),3-7 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-sr-analyst-commercial-finance-mondel-z-international-mumbai-3-to-7-years-180822500752
Oracle Fusion Finance Analyst,Oracle,3.9,(3719 Reviews),5-10 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",Today,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
Finance Analyst,Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,4 Days Ago,https://www.naukri.com/job-listings-finance-analyst-kroll-llc-mumbai-0-to-2-years-160822909760
Analyst Commercial Finance,Mondelez,4.5,(951 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-commercial-finance-mondel-z-international-mumbai-2-to-5-years-180822500748
"Analyst II, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-ii-global-financial-data-operations-kroll-llc-mumbai-2-to-5-years-180822900417
Senior Financial Analyst,Abbott,4.1,(4110 Reviews),1-3 Yrs,Not disclosed,Mumbai,9 Days Ago,https://www.naukri.com/job-listings-senior-financial-analyst-abbott-healthcare-pvt-ltd-mumbai-1-to-3-years-100822501392
Business Analyst - Finance,CoinDCX,4.7,(15 Reviews),1-3 Yrs,Not disclosed,Mumbai,13 Days Ago,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
Sr. Analyst - Finance,Colgate-Palmolive (India),4.3,(574 Reviews),6-8 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-sr-analyst-finance-colgate-palmolive-india-mumbai-6-to-8-years-080822501157
"Analyst I, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-i-global-financial-data-operations-kroll-llc-mumbai-0-to-2-years-090822909519
"Senior Database Analyst , Financial analyst",Millennium Aero Dynamics,4.2,(39 Reviews),2-4 Yrs,"2,50,000 - 4,25,000 PA.",Mumbai (All Areas),Just Now,https://www.naukri.com/job-listings-senior-database-analyst-financial-analyst-millennium-mumbai-all-areas-2-to-4-years-200822003589
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,8 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-120822908626
Finance Analyst- Mumbai,NCR Corporation,4,(927 Reviews),3-6 Yrs,Not disclosed,"Mumbai, Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",9 Days Ago,https://www.naukri.com/job-listings-finance-analyst-mumbai-ncr-corporation-india-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-mumbai-all-areas-3-to-6-years-110822003045
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-100822902342
Financial Reporting Analyst,Sodexo,4.1,(2273 Reviews),7-12 Yrs,Not disclosed,Mumbai (All Areas),11 Days Ago,https://www.naukri.com/job-listings-financial-reporting-analyst-sodexo-india-services-private-limited-mumbai-all-areas-7-to-12-years-090822000974
Analyst-Finance Data Maintenance,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-analyst-finance-data-maintenance-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-080822903756
"Sr. Analyst, Commercial Finance",Mondelez,4.5,(951 Reviews),3-7 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-sr-analyst-commercial-finance-mondel-z-international-mumbai-3-to-7-years-180822500752
Oracle Fusion Finance Analyst,Oracle,3.9,(3719 Reviews),5-10 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",Today,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
Finance Analyst,Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,4 Days Ago,https://www.naukri.com/job-listings-finance-analyst-kroll-llc-mumbai-0-to-2-years-160822909760
Analyst Commercial Finance,Mondelez,4.5,(951 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-commercial-finance-mondel-z-international-mumbai-2-to-5-years-180822500748
"Analyst II, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-ii-global-financial-data-operations-kroll-llc-mumbai-2-to-5-years-180822900417
Senior Financial Analyst,Abbott,4.1,(4110 Reviews),1-3 Yrs,Not disclosed,Mumbai,9 Days Ago,https://www.naukri.com/job-listings-senior-financial-analyst-abbott-healthcare-pvt-ltd-mumbai-1-to-3-years-100822501392
Business Analyst - Finance,CoinDCX,4.7,(15 Reviews),1-3 Yrs,Not disclosed,Mumbai,13 Days Ago,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
Sr. Analyst - Finance,Colgate-Palmolive (India),4.3,(574 Reviews),6-8 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-sr-analyst-finance-colgate-palmolive-india-mumbai-6-to-8-years-080822501157
"Analyst I, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-i-global-financial-data-operations-kroll-llc-mumbai-0-to-2-years-090822909519
"Senior Database Analyst , Financial analyst",Millennium Aero Dynamics,4.2,(39 Reviews),2-4 Yrs,"2,50,000 - 4,25,000 PA.",Mumbai (All Areas),Just Now,https://www.naukri.com/job-listings-senior-database-analyst-financial-analyst-millennium-mumbai-all-areas-2-to-4-years-200822003589
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,8 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-120822908626
Finance Analyst- Mumbai,NCR Corporation,4,(927 Reviews),3-6 Yrs,Not disclosed,"Mumbai, Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",9 Days Ago,https://www.naukri.com/job-listings-finance-analyst-mumbai-ncr-corporation-india-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-mumbai-all-areas-3-to-6-years-110822003045
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-100822902342
Financial Reporting Analyst,Sodexo,4.1,(2273 Reviews),7-12 Yrs,Not disclosed,Mumbai (All Areas),11 Days Ago,https://www.naukri.com/job-listings-financial-reporting-analyst-sodexo-india-services-private-limited-mumbai-all-areas-7-to-12-years-090822000974
Analyst-Finance Data Maintenance,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-analyst-finance-data-maintenance-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-080822903756
"Sr. Analyst, Commercial Finance",Mondelez,4.5,(951 Reviews),3-7 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-sr-analyst-commercial-finance-mondel-z-international-mumbai-3-to-7-years-180822500752
Oracle Fusion Finance Analyst,Oracle,3.9,(3719 Reviews),5-10 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",Today,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
Finance Analyst,Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,4 Days Ago,https://www.naukri.com/job-listings-finance-analyst-kroll-llc-mumbai-0-to-2-years-160822909760
Analyst Commercial Finance,Mondelez,4.5,(951 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-commercial-finance-mondel-z-international-mumbai-2-to-5-years-180822500748
"Analyst II, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-ii-global-financial-data-operations-kroll-llc-mumbai-2-to-5-years-180822900417
Senior Financial Analyst,Abbott,4.1,(4110 Reviews),1-3 Yrs,Not disclosed,Mumbai,9 Days Ago,https://www.naukri.com/job-listings-senior-financial-analyst-abbott-healthcare-pvt-ltd-mumbai-1-to-3-years-100822501392
Business Analyst - Finance,CoinDCX,4.7,(15 Reviews),1-3 Yrs,Not disclosed,Mumbai,13 Days Ago,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
Sr. Analyst - Finance,Colgate-Palmolive (India),4.3,(574 Reviews),6-8 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-sr-analyst-finance-colgate-palmolive-india-mumbai-6-to-8-years-080822501157
"Analyst I, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-i-global-financial-data-operations-kroll-llc-mumbai-0-to-2-years-090822909519
"Senior Database Analyst , Financial analyst",Millennium Aero Dynamics,4.2,(39 Reviews),2-4 Yrs,"2,50,000 - 4,25,000 PA.",Mumbai (All Areas),Just Now,https://www.naukri.com/job-listings-senior-database-analyst-financial-analyst-millennium-mumbai-all-areas-2-to-4-years-200822003589
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,8 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-120822908626
Finance Analyst- Mumbai,NCR Corporation,4,(927 Reviews),3-6 Yrs,Not disclosed,"Mumbai, Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",9 Days Ago,https://www.naukri.com/job-listings-finance-analyst-mumbai-ncr-corporation-india-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-mumbai-all-areas-3-to-6-years-110822003045
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-100822902342
Financial Reporting Analyst,Sodexo,4.1,(2273 Reviews),7-12 Yrs,Not disclosed,Mumbai (All Areas),11 Days Ago,https://www.naukri.com/job-listings-financial-reporting-analyst-sodexo-india-services-private-limited-mumbai-all-areas-7-to-12-years-090822000974
Analyst-Finance Data Maintenance,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-analyst-finance-data-maintenance-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-080822903756
"Sr. Analyst, Commercial Finance",Mondelez,4.5,(951 Reviews),3-7 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-sr-analyst-commercial-finance-mondel-z-international-mumbai-3-to-7-years-180822500752
Oracle Fusion Finance Analyst,Oracle,3.9,(3719 Reviews),5-10 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",Today,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
Finance Analyst,Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,4 Days Ago,https://www.naukri.com/job-listings-finance-analyst-kroll-llc-mumbai-0-to-2-years-160822909760
Analyst Commercial Finance,Mondelez,4.5,(951 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-commercial-finance-mondel-z-international-mumbai-2-to-5-years-180822500748
"Analyst II, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-ii-global-financial-data-operations-kroll-llc-mumbai-2-to-5-years-180822900417
Senior Financial Analyst,Abbott,4.1,(4110 Reviews),1-3 Yrs,Not disclosed,Mumbai,9 Days Ago,https://www.naukri.com/job-listings-senior-financial-analyst-abbott-healthcare-pvt-ltd-mumbai-1-to-3-years-100822501392
Business Analyst - Finance,CoinDCX,4.7,(15 Reviews),1-3 Yrs,Not disclosed,Mumbai,13 Days Ago,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
Sr. Analyst - Finance,Colgate-Palmolive (India),4.3,(574 Reviews),6-8 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-sr-analyst-finance-colgate-palmolive-india-mumbai-6-to-8-years-080822501157
"Analyst I, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-i-global-financial-data-operations-kroll-llc-mumbai-0-to-2-years-090822909519
"Senior Database Analyst , Financial analyst",Millennium Aero Dynamics,4.2,(39 Reviews),2-4 Yrs,"2,50,000 - 4,25,000 PA.",Mumbai (All Areas),Just Now,https://www.naukri.com/job-listings-senior-database-analyst-financial-analyst-millennium-mumbai-all-areas-2-to-4-years-200822003589
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,8 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-120822908626
Finance Analyst- Mumbai,NCR Corporation,4,(927 Reviews),3-6 Yrs,Not disclosed,"Mumbai, Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",9 Days Ago,https://www.naukri.com/job-listings-finance-analyst-mumbai-ncr-corporation-india-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-mumbai-all-areas-3-to-6-years-110822003045
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-100822902342
Financial Reporting Analyst,Sodexo,4.1,(2273 Reviews),7-12 Yrs,Not disclosed,Mumbai (All Areas),11 Days Ago,https://www.naukri.com/job-listings-financial-reporting-analyst-sodexo-india-services-private-limited-mumbai-all-areas-7-to-12-years-090822000974
Analyst-Finance Data Maintenance,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-analyst-finance-data-maintenance-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-080822903756
"Sr. Analyst, Commercial Finance",Mondelez,4.5,(951 Reviews),3-7 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-sr-analyst-commercial-finance-mondel-z-international-mumbai-3-to-7-years-180822500752
Oracle Fusion Finance Analyst,Oracle,3.9,(3719 Reviews),5-10 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",Today,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
Finance Analyst,Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,4 Days Ago,https://www.naukri.com/job-listings-finance-analyst-kroll-llc-mumbai-0-to-2-years-160822909760
Analyst Commercial Finance,Mondelez,4.5,(951 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-commercial-finance-mondel-z-international-mumbai-2-to-5-years-180822500748
"Analyst II, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),2-5 Yrs,Not disclosed,Mumbai,2 Days Ago,https://www.naukri.com/job-listings-analyst-ii-global-financial-data-operations-kroll-llc-mumbai-2-to-5-years-180822900417
Senior Financial Analyst,Abbott,4.1,(4110 Reviews),1-3 Yrs,Not disclosed,Mumbai,9 Days Ago,https://www.naukri.com/job-listings-senior-financial-analyst-abbott-healthcare-pvt-ltd-mumbai-1-to-3-years-100822501392
Business Analyst - Finance,CoinDCX,4.7,(15 Reviews),1-3 Yrs,Not disclosed,Mumbai,13 Days Ago,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
Sr. Analyst - Finance,Colgate-Palmolive (India),4.3,(574 Reviews),6-8 Yrs,Not disclosed,Mumbai,12 Days Ago,https://www.naukri.com/job-listings-sr-analyst-finance-colgate-palmolive-india-mumbai-6-to-8-years-080822501157
"Analyst I, Global Financial Data Operations",Duff & Phelps,4.3,(24 Reviews),0-2 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-i-global-financial-data-operations-kroll-llc-mumbai-0-to-2-years-090822909519
"Senior Database Analyst , Financial analyst",Millennium Aero Dynamics,4.2,(39 Reviews),2-4 Yrs,"2,50,000 - 4,25,000 PA.",Mumbai (All Areas),Just Now,https://www.naukri.com/job-listings-senior-database-analyst-financial-analyst-millennium-mumbai-all-areas-2-to-4-years-200822003589
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,8 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-120822908626
Finance Analyst- Mumbai,NCR Corporation,4,(927 Reviews),3-6 Yrs,Not disclosed,"Mumbai, Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",9 Days Ago,https://www.naukri.com/job-listings-finance-analyst-mumbai-ncr-corporation-india-pvt-ltd-mumbai-mumbai-suburban-navi-mumbai-mumbai-all-areas-3-to-6-years-110822003045
Analyst-Finance Processes and Operations,Accenture,4.2,(30646 Reviews),3-5 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-100822902342
